Rosario Central;18;Julián Fernández;Extremo derecho;30/01/2004;22;Argentina;1,83m;Izquierdo;27/01/2026;New York City FC;31/12/2026;3,80 mill. €
Rosario Central;11;Ángel Di María;Extremo derecho;14/02/1988;38;Argentina / Italia;1,78m;Izquierdo;01/07/2025;SL Benfica;-;1,80 mill. €
Rosario Central;27;Gaspar Duarte;Extremo derecho;06/01/2003;23;Argentina;1,75m;Derecho;01/07/2024;CA Rosario Central II;-;650 mil €
Rosario Central;16;Tomás Badaloni;Delantero centro;02/05/2000;26;Argentina / Italia;1,87m;Izquierdo;14/07/2026;Club Necaxa;-;4,00 mill. €
Rosario Central;22;Enzo Copetti;Delantero centro;16/01/1996;30;Argentina;1,80m;Derecho;01/06/2024;Charlotte FC;-;2,20 mill. €
Rosario Central;9;Marco Ruben;Delantero centro;26/10/1986;39;Argentina / España;1,79m;Derecho;21/02/2026;inactivo;-;25 mil €
Racing;25;Facundo Cambeses;Portero;09/04/1997;29;Argentina / Italia;1,86m;Derecho;09/01/2024;CA Banfield;31/12/2027;5,00 mill. €
Racing;30;Matías Tagliamonte;Portero;19/02/1998;28;Argentina;1,93m;Izquierdo;01/01/2022;AMSD Atlético de Rafaela;31/12/2026;1,20 mill. €
Racing;1;Francisco Gómez;Portero;06/04/2004;22;Argentina;1,87m;Derecho;01/01/2025;Racing Club II;31/12/2027;-
Racing;3;Marco Di Césare;Defensa central;30/01/2002;24;Argentina / Italia;1,86m;Derecho;26/01/2024;AA Argentinos Juniors;31/12/2027;5,00 mill. €
Racing;23;Nazareno Colombo;Defensa central;20/03/1999;27;Argentina;1,82m;Derecho;22/08/2023;CSD Defensa y Justicia;31/12/2027;2,80 mill. €
Racing;2;Matías Pérez;Defensa central;03/03/1999;27;Argentina / Paraguay;1,81m;Derecho;28/08/2026;Club Cerro Porteño;31/12/2030;2,70 mill. €
Racing;38;Mateo Martínez;Defensa central;27/04/2008;18;Argentina;1,85m;Derecho;;;31/12/2030;800 mil €
Racing;6;Marcos Rojo;Defensa central;20/03/1990;36;Argentina;1,86m;Izquierdo;10/08/2025;CA Boca Juniors;31/12/2026;125 mil €
Racing;43;Gonzalo Escudero;Defensa central;01/04/2007;19;Argentina;1,87m;Izquierdo;01/01/2025;Racing Club II;31/12/2029;50 mil €
Racing;18;Alfonso Espino;Lateral izquierdo;05/01/1992;34;Uruguay / España;1,72m;Izquierdo;02/07/2026;Rayo Vallecano;30/06/2028;600 mil €
Racing;4;Ezequiel Cannavo;Lateral derecho;12/06/2002;24;Argentina / Italia;1,80m;Derecho;03/02/2026;CSD Defensa y Justicia;31/12/2026;3,00 mill. €
Racing;14;Juan Barinaga;Lateral derecho;10/10/2000;25;Argentina;1,76m;Derecho;29/08/2026;CA Boca Juniors;30/06/2027;2,80 mill. €
Racing;33;Leonel Pérez;Pivote;09/08/2004;22;Argentina;1,86m;Derecho;10/08/2026;Grêmio Foot-Ball Porto Alegrense;30/06/2027;5,50 mill. €
Racing;16;Ulises Ortegoza;Pivote;19/04/1997;29;Chile / Argentina;1,80m;Derecho;01/07/2026;CA Talleres;31/12/2029;1,80 mill. €
Racing;5;Matías Kranevitter;Pivote;21/05/1993;33;Argentina / Italia;1,79m;Derecho;06/07/2026;Fatih Karagümrük;30/06/2027;600 mil €
Racing;8;Alan Forneris;Pivote;28/01/2005;21;Argentina;1,84m;Derecho;01/07/2025;CA Colón;31/12/2029;600 mil €
Racing;20;Gastón Lodico;Mediocentro;28/05/1998;28;Argentina;1,73m;Derecho;13/08/2026;Instituto ACC;31/12/2029;3,80 mill. €
Racing;19;Ignacio Rodríguez;Interior izquierdo;22/02/2002;24;Argentina;1,76m;Izquierdo;17/01/2025;CA Banfield;31/12/2028;1,20 mill. €
Racing;21;Valentín Carboni;Mediocentro ofensivo;05/03/2005;21;Argentina / Italia;1,85m;Izquierdo;14/01/2026;Inter de Milán;31/12/2026;7,00 mill. €
Racing;10;Matko Miljevic;Mediocentro ofensivo;09/05/2001;25;Estados Unidos / Argentina;1,76m;Derecho;14/01/2026;CA Huracán;31/12/2029;4,00 mill. €
Racing;11;Matías Zaracho;Mediocentro ofensivo;10/03/1998;28;Argentina;1,71m;Derecho;17/01/2025;Clube Atlético Mineiro;31/12/2028;3,50 mill. €
Racing;24;Adrián Fernández;Mediocentro ofensivo;20/05/2001;25;Argentina;1,83m;Derecho;01/07/2025;CA San Telmo;31/12/2029;700 mil €
Racing;46;Alejandro Tello;Mediocentro ofensivo;08/02/2008;18;Argentina;1,84m;Derecho;01/07/2026;Racing Club II;31/12/2030;400 mil €
Racing;17;Tomás Conechny;Extremo izquierdo;30/03/1998;28;Argentina / Polonia;1,76m;Izquierdo;11/07/2025;Deportivo Alavés;31/12/2029;2,50 mill. €
Racing;7;Duván Vergara;Extremo izquierdo;09/09/1996;30;Colombia;1,77m;Derecho;06/07/2025;CD América de Cali;31/12/2028;1,80 mill. €
Racing;27;Leandro Córdoba;Extremo derecho;12/05/2005;21;Argentina;1,72m;Derecho;03/09/2026;CA Racing (Córdoba);31/12/2030;300 mil €
Racing;9;Adrián Martínez;Delantero centro;07/07/1992;34;Argentina;1,76m;Izquierdo;06/01/2024;Instituto ACC;31/12/2028;2,00 mill. €
Racing;32;Lautaro Díaz;Delantero centro;21/05/1998;28;Argentina;1,81m;Derecho;21/07/2026;Cruzeiro Esporte Clube;30/06/2027;1,50 mill. €
Racing;22;Elías Torres;Delantero centro;02/03/2001;25;Argentina;1,86m;Derecho;11/07/2025;CA Aldosivi;31/12/2029;850 mil €
Estudiantes LP;16;Fernando Muslera;Portero;16/06/1986;40;Uruguay / Italia;1,90m;Derecho;06/07/2025;Galatasaray;31/12/2026;700 mil €
Estudiantes LP;1;Fabricio Iacovich;Portero;29/01/2002;24;Argentina / Croacia;1,98m;Izquierdo;01/01/2024;Club Estudiantes de La Plata II;31/12/2027;500 mil €
Estudiantes LP;12;Rodrigo Borzone;Portero;21/10/2004;21;Argentina;1,91m;Derecho;01/01/2026;Club Estudiantes de La Plata II;31/12/2026;-
Estudiantes LP;24;Tomás Palacios;Defensa central;28/04/2003;23;Argentina;1,96m;Izquierdo;27/01/2026;Inter de Milán;31/12/2026;8,00 mill. €
Estudiantes LP;4;Santiago Núñez;Defensa central;29/04/2000;26;Argentina;1,86m;Derecho;27/01/2025;Santos Laguna;31/12/2028;2,00 mill. €
Estudiantes LP;14;Leandro González Pírez;Defensa central;26/02/1992;34;Argentina / Portugal;1,85m;Derecho;11/07/2025;CA River Plate;30/06/2027;350 mil €
Estudiantes LP;35;Valente Pierani;Defensa central;22/02/2006;20;Argentina / Italia;1,88m;Derecho;01/01/2025;Club Estudiantes de La Plata II;31/12/2027;200 mil €
Estudiantes LP;26;Ramiro Funes Mori;Defensa central;05/03/1991;35;Argentina / Estados Unidos;1,87m;Izquierdo;22/02/2025;CA River Plate;31/12/2026;25 mil €
Estudiantes LP;15;Santiago Arzamendia;Lateral izquierdo;05/05/1998;28;Paraguay / Argentina;1,72m;Izquierdo;25/07/2024;Cádiz CF;31/12/2027;2,30 mill. €
Estudiantes LP;13;Gastón Benedetti;Lateral izquierdo;29/03/2001;25;Argentina;1,75m;Izquierdo;01/01/2023;Club Estudiantes de La Plata II;31/12/2027;2,00 mill. €
Estudiantes LP;36;Joaquín Pereyra;Lateral izquierdo;16/06/2005;21;Argentina;1,80m;Izquierdo;01/01/2026;Club Estudiantes de La Plata II;31/12/2027;25 mil €
Estudiantes LP;40;Eros Mancuso;Lateral derecho;17/04/1999;27;Argentina;1,71m;Derecho;22/01/2026;Fortaleza Esporte Clube;31/12/2026;2,80 mill. €
Estudiantes LP;20;Eric Meza;Lateral derecho;08/04/1999;27;Argentina;1,75m;Derecho;03/01/2024;CA Colón;31/12/2027;2,50 mill. €
Estudiantes LP;39;Jalil Elías;Pivote;25/04/1996;30;Siria / Argentina;1,75m;Derecho;02/09/2026;CA Tigre;31/12/2027;1,80 mill. €
Estudiantes LP;8;Gabriel Neves;Pivote;11/08/1997;29;Uruguay;1,71m;Derecho;20/07/2024;São Paulo FC;31/12/2027;1,30 mill. €
Estudiantes LP;21;Ezequiel Piovi;Pivote;20/08/1992;34;Argentina / España;1,70m;Derecho;28/01/2025;LDU Quito;31/12/2028;800 mil €
Estudiantes LP;22;Alexis Castro;Mediocentro;18/10/1994;31;Argentina;1,83m;Izquierdo;07/01/2025;Club Nacional;31/12/2026;1,20 mill. €
Estudiantes LP;52;Bautista Kociubinski;Mediocentro;26/04/2001;25;Argentina / Italia;1,81m;Derecho;01/01/2022;Club Estudiantes de La Plata II;-;350 mil €
Estudiantes LP;31;Baltasar Rodríguez;Mediocentro ofensivo;09/07/2003;23;Argentina;1,73m;Derecho;08/08/2026;Racing Club;30/06/2030;4,00 mill. €
Estudiantes LP;34;Miguel Monsalve;Mediocentro ofensivo;27/02/2004;22;Colombia;1,78m;Derecho;29/08/2026;Grêmio Foot-Ball Porto Alegrense;30/06/2027;3,50 mill. €
Estudiantes LP;7;José Sosa;Mediocentro ofensivo;19/06/1985;41;Argentina;1,81m;Derecho;09/08/2022;Fenerbahce;31/12/2026;50 mil €
Estudiantes LP;17;Joaquín Tobio Burgos;Extremo izquierdo;14/12/2004;21;Argentina;1,77m;Izquierdo;01/07/2024;Club Estudiantes de La Plata II;31/12/2026;3,20 mill. €
Estudiantes LP;18;Edwuin Cetré;Extremo izquierdo;01/01/1998;28;Colombia;1,74m;Derecho;31/01/2024;Independiente Medellín;31/12/2028;3,00 mill. €
Estudiantes LP;28;Brian Aguirre;Extremo izquierdo;06/01/2003;23;Argentina;1,75m;Derecho;27/01/2026;CA Boca Juniors;31/12/2026;3,00 mill. €
Estudiantes LP;10;Tiago Palacios;Extremo derecho;28/03/2001;25;Uruguay / Argentina;1,67m;Izquierdo;09/02/2024;Montevideo City Torque;31/12/2027;4,50 mill. €
Estudiantes LP;29;Fabricio Pérez;Extremo derecho;07/12/2005;20;Argentina;1,80m;Derecho;01/01/2025;Club Estudiantes de La Plata II;31/12/2027;3,50 mill. €
Estudiantes LP;32;Joaquín Correa;Mediapunta;13/08/1994;32;Argentina / Italia;1,88m;Derecho;07/08/2026;Botafogo de Futebol e Regatas;30/06/2028;1,50 mill. €
Estudiantes LP;19;Adolfo Gaich;Delantero centro;26/02/1999;27;Argentina / Italia;1,90m;Derecho;14/01/2026;CSKA Moscú;31/12/2028;1,00 mill. €
Estudiantes LP;9;Guido Carrillo;Delantero centro;25/05/1991;35;Argentina / Italia;1,87m;Derecho;10/01/2023;Henan FC;31/12/2026;300 mil €
Estudiantes LP;27;Lucas Alario;Delantero centro;08/10/1992;33;Argentina / Italia;1,85m;Derecho;15/01/2025;Sport Club Internacional;31/12/2026;250 mil €
Independiente Rivadavia;30;Nicolás Bolcato;Portero;06/05/2004;22;Argentina;1,85m;Derecho;01/01/2026;CS Independiente Rivadavia II;31/12/2026;3,00 mill. €
Independiente Rivadavia;12;Ramiro Macagno;Portero;18/03/1997;29;Argentina / Italia;1,85m;Derecho;07/01/2026;Levadiakos;31/12/2026;450 mil €
Independiente Rivadavia;21;Emmanuel Gómez Riga;Portero;14/09/2001;25;Argentina;1,86m;Derecho;14/01/2026;CA Alvarado;31/12/2026;100 mil €
Independiente Rivadavia;42;Sheyko Studer;Defensa central;12/11/2002;23;Argentina;1,92m;Derecho;01/01/2026;CA Talleres;31/12/2028;6,00 mill. €
Independiente Rivadavia;13;Alejo Osella;Defensa central;30/09/2000;25;Argentina;1,90m;;14/01/2026;Club Deportivo Armenio;31/12/2026;1,20 mill. €
Independiente Rivadavia;2;Leonard Costa;Defensa central;24/08/1998;28;Uruguay;1,85m;Derecho;01/01/2025;CA Boston River;31/12/2027;1,00 mill. €
Independiente Rivadavia;40;Iván Villalba;Defensa central;19/01/1995;31;Paraguay;1,82m;Derecho;05/07/2024;Sportivo Luqueño;31/12/2027;800 mil €
Independiente Rivadavia;6;Santiago Cena;Defensa central;16/03/2005;21;Argentina;1,86m;Derecho;14/01/2026;Sacachispas FC;31/12/2026;-
Independiente Rivadavia;3;Juan Elordi;Lateral izquierdo;21/08/1994;32;Argentina;1,76m;Izquierdo;14/01/2026;Racing Club;31/12/2026;400 mil €
Independiente Rivadavia;14;Luciano Gómez;Lateral derecho;22/03/1996;30;Argentina;1,64m;Derecho;03/07/2024;AA Argentinos Juniors;31/12/2026;700 mil €
Independiente Rivadavia;28;Alex Vigo;Lateral derecho;28/04/1999;27;Argentina;1,75m;Derecho;08/08/2026;CA Talleres;31/12/2028;600 mil €
Independiente Rivadavia;36;Ezequiel Bonifacio;Lateral derecho;09/05/1994;32;Argentina / Italia;1,68m;Derecho;01/07/2025;CA Banfield;31/12/2026;100 mil €
Independiente Rivadavia;8;Leonel Bucca;Pivote;20/03/1999;27;Argentina;1,90m;Izquierdo;06/07/2025;CF Estrela Amadora;31/12/2026;700 mil €
Independiente Rivadavia;34;Stefano Moreyra;Pivote;19/09/2001;25;Argentina;1,79m;Derecho;14/01/2026;Instituto ACC;31/12/2026;600 mil €
Independiente Rivadavia;32;Kevin Vázquez;Pivote;19/03/2001;25;Argentina;1,75m;Derecho;20/01/2026;CA Vélez Sarsfield;31/12/2026;225 mil €
Independiente Rivadavia;25;José Florentín;Mediocentro;05/07/1996;30;Paraguay;1,84m;Izquierdo;14/01/2026;CA Central Córdoba (SdE);31/12/2027;2,20 mill. €
Independiente Rivadavia;5;Tomás Bottari;Mediocentro;26/04/2001;25;Argentina;1,73m;Derecho;10/01/2025;CA Nueva Chicago;31/12/2028;1,80 mill. €
Independiente Rivadavia;10;Matías Fernández;Mediocentro ofensivo;23/06/2001;25;Argentina;1,73m;Derecho;14/01/2026;CA Excursionistas;31/12/2028;5,00 mill. €
Independiente Rivadavia;11;Gonzalo Ríos;Mediocentro ofensivo;27/01/1999;27;Argentina;1,72m;Derecho;13/07/2024;Audax Italiano;31/12/2026;2,00 mill. €
Independiente Rivadavia;77;Luis Sequeira;Mediocentro ofensivo;08/01/2003;23;Argentina;1,72m;Derecho;27/01/2026;CA Talleres;31/12/2026;500 mil €
Independiente Rivadavia;27;Diego Crego;Extremo izquierdo;19/06/1997;29;Argentina;1,73m;Izquierdo;14/01/2026;CS Deportivo Madryn;31/12/2026;250 mil €
Independiente Rivadavia;19;Rodrigo Atencio;Extremo derecho;30/06/2002;24;Argentina;1,75m;Izquierdo;20/01/2026;Sport Club do Recife;31/12/2026;2,00 mill. €
Independiente Rivadavia;23;Luis Díaz;Extremo derecho;24/04/2004;22;Colombia;1,77m;Derecho;02/08/2026;Envigado FC;31/12/2028;550 mil €
Independiente Rivadavia;20;Alessandro Riep;Extremo derecho;03/07/2003;23;Argentina / Chile;1,74m;Derecho;24/01/2026;Audax Italiano;31/12/2026;350 mil €
